priority,customer_id,churn_probability
1,16914,0.9999999981974486
2,29513,0.9999999981012913
3,35750,0.9999999967425721
4,35153,0.9999999956596586
5,23915,0.9999999947857401
6,7877,0.9999999947857401
7,42973,0.9999999943933766
8,15380,0.9999999943933766
9,40813,0.9999999923788935
10,55139,0.9999999920535442
11,27836,0.9999999920535442
12,21596,0.9999999916881787
13,19753,0.9999999914836041
14,6363,0.9999999914821657
15,55722,0.9999999914821657
16,63937,0.9999999914821657
17,63322,0.9999999914821657
18,52447,0.9999999907376073
19,58194,0.9999999907376073
20,61826,0.9999999907357703
21,1557,0.9999999907357703
22,3094,0.9999999907357703
23,39117,0.9999999907357703
24,50115,0.9999999907357703
25,60903,0.9999999907357703
26,53999,0.9999999907357703
27,33742,0.9999999904463189
28,32187,0.9999999904277929
29,4411,0.9999999904277929
30,2068,0.9999999904277929
31,10538,0.9999999904277929
32,1281,0.9999999904277929
33,8554,0.9999999904277929
34,1442,0.9999999904277929
35,27270,0.9999999904271636
36,20483,0.9999999904271636
37,38120,0.9999999904271636
38,22614,0.9999999904271636
39,36375,0.9999999904271636
40,38211,0.9999999904271636
41,42558,0.9999999904271636
42,30935,0.9999999901088029
43,2756,0.9999999900568489
44,15237,0.9999999900568489
45,28969,0.9999999897793727
46,8074,0.9999999897629487
47,12286,0.9999999897629487
48,26503,0.999999989604983
49,34868,0.9999999895369737
50,18988,0.9999999893540393
51,43206,0.9999999886371135
52,12937,0.9999999886371135
53,4296,0.9999999884280927
54,37468,0.9999999882560094
55,17219,0.9999999882560094
56,35370,0.999999987827039
57,5143,0.9999999876002658
58,9677,0.9999999874694357
59,44919,0.9999999873098288
60,53427,0.9999999871036479
61,15272,0.9999999867785299
62,29842,0.9999999867785299
63,11345,0.9999999867639047
64,31285,0.9999999866055314
65,35272,0.9999999865953111
66,43321,0.9999999865953111
67,25702,0.9999999865075477
68,19822,0.9999999865075477
69,31956,0.9999999865043414
70,46615,0.9999999864613025
71,12710,0.9999999862847457
72,10957,0.9999999862847457
73,45321,0.9999999862434283
74,44475,0.9999999862332412
75,12298,0.99999998613549
76,19251,0.99999998613549
77,37637,0.99999998613549
78,5277,0.9999999857478574
79,8347,0.9999999855962722
80,594,0.9999999855612929
81,28652,0.9999999854697788
82,10992,0.9999999854581063
83,6126,0.9999999854581063
84,41186,0.9999999854581063
85,15716,0.9999999853651906
86,14921,0.9999999852635033
87,44301,0.9999999852635033
88,23997,0.9999999852625345
89,5880,0.9999999852625345
90,7520,0.9999999852625345
91,25010,0.9999999850004726
92,19836,0.9999999846575862
93,6133,0.9999999841562943
94,14119,0.9999999838132019
95,37160,0.9999999836286135
96,20858,0.9999999831776513
97,1165,0.9999999827291514
98,49791,0.9999999824628775
99,12484,0.9999999823870208
100,17009,0.9999999819707611
101,39756,0.9999999819707611
102,47205,0.9999999819707611
103,53295,0.9999999819706075
104,46765,0.9999999819706075
105,19098,0.9999999819611339
106,20883,0.9999999818038273
107,63998,0.9999999816913056
108,54181,0.9999999816664028
109,15989,0.9999999814585044
110,14436,0.9999999814572856
111,54523,0.9999999814572856
112,13699,0.9999999813069517
113,26008,0.9999999809420815
114,6233,0.9999999809420815
115,63226,0.9999999809420815
116,14095,0.9999999807351786
117,53131,0.9999999807063061
118,6767,0.9999999807023462
119,49559,0.9999999807023462
120,15857,0.9999999804720628
121,36224,0.9999999804720628
122,18690,0.9999999804720628
123,21791,0.9999999804720628
124,13245,0.9999999804633263
125,7276,0.9999999804633263
126,21558,0.9999999804633263
127,32051,0.9999999804633263
128,37654,0.9999999804633263
129,35667,0.9999999804633263
130,38454,0.9999999804633263
131,35755,0.9999999804633263
132,49685,0.9999999803794984
133,2204,0.9999999803025555
134,22939,0.9999999800937132
135,28180,0.9999999800935564
136,37308,0.9999999800935564
137,7319,0.9999999800935564
138,30186,0.9999999800935564
139,3573,0.9999999800935564
140,24430,0.9999999800935564
141,3444,0.9999999800935564
142,41733,0.9999999797652812
143,49150,0.9999999797440156
144,13391,0.9999999794740682
145,31525,0.9999999794081615
146,14800,0.9999999792140961
147,34873,0.9999999790504719
148,17896,0.9999999790504719
149,27406,0.9999999788418668
150,9360,0.9999999787354399
151,4443,0.9999999783939597
152,58373,0.9999999783322848
153,9003,0.9999999783322848
154,34991,0.9999999783012015
155,37982,0.9999999776532404
156,1047,0.9999999776530644
157,41547,0.9999999770723641
158,43635,0.9999999763594519
159,11854,0.999999976009912
160,4702,0.9999999759614709
161,48757,0.9999999755720942
162,12020,0.999999975571395
163,37239,0.999999975571395
164,45416,0.999999975571395
165,22671,0.999999975571395
166,40052,0.999999975571395
167,11106,0.9999999754916286
168,20954,0.9999999754916286
169,25152,0.9999999754916286
170,32811,0.9999999754916286
171,59660,0.9999999754894863
172,53997,0.9999999754894863
173,52530,0.9999999754894863
174,43339,0.9999999754894863
175,7403,0.9999999753111458
176,59892,0.9999999750718309
177,5492,0.9999999750718309
178,50229,0.9999999750660402
179,58201,0.9999999750660402
180,30079,0.9999999750660402
181,46247,0.9999999750660402
182,33337,0.9999999749033757
183,55262,0.9999999748353652
184,53183,0.999999974641834
185,39656,0.9999999745499966
186,35407,0.9999999741216676
187,2525,0.9999999740304719
188,56055,0.9999999739065153
189,62619,0.9999999739065153
190,13780,0.9999999737180436
191,36961,0.9999999737180436
192,31910,0.9999999731761116
193,10208,0.9999999731761116
194,3174,0.9999999731761116
195,12027,0.9999999726021652
196,29539,0.9999999725201333
197,46950,0.9999999725201333
198,16653,0.9999999716896698
199,30153,0.9999999715227873
200,20318,0.9999999715227873
201,39479,0.9999999715227873
202,10229,0.9999999715222222
203,24291,0.9999999714637141
204,7151,0.9999999709432432
205,39339,0.9999999709080989
206,20215,0.9999999706468237
207,4991,0.9999999706468237
208,52294,0.9999999705905473
209,29323,0.9999999705905473
210,31293,0.9999999705905473
211,41274,0.9999999704819866
212,10743,0.9999999704819866
213,44929,0.9999999704819866
214,42572,0.9999999704819866
215,13162,0.9999999704819866
216,41598,0.9999999704819866
217,35344,0.9999999704819866
218,4514,0.9999999704809539
